期刊全称,ISO缩写,ISSN,eISSN,reason,added_by,updated
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,BRIT J BIOMED SCI,0967-4845,2474-0896,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Public Health,FRONT PUBLIC HEALTH,,2296-2565,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Immunology,FRONT IMMUNOL,1664-3224,1664-3224,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Medicine,FRONT MED-LAUSANNE,,2296-858X,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Pharmacology,FRONT PHARMACOL,,1663-9812,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Microbiology,FRONT MICROBIOL,,1664-302X,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Nutrition,FRONT NUTR,2296-861X,2296-861X,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Endocrinology,FRONT ENDOCRINOL,1664-2392,1664-2392,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Cellular and Infection Microbiology,FRONT CELL INFECT MI,2235-2988,2235-2988,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Bioengineering and Biotechnology,FRONT BIOENG BIOTECH,2296-4185,2296-4185,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Aging Neuroscience,FRONT AGING NEUROSCI,1663-4365,1663-4365,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Digital Health,FRONT DIGIT HEALTH,,2673-253X,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Oral Health,FRONT ORAL HEALTH,,2673-4842,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Bioinformatics,FRONT BIOINFORM,,2673-7647,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
Frontiers in Rehabilitation Sciences,FRONT REHABIL SCI,,2673-6861,Frontiers系列：有更好匹配时不荐；仅层额不足或用户点名时可作备选,user-2026-09-19,2026-09-19
