序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
1,4-Q3,5,Discover Oncology,DISCOV ONCOL,,2730-6011,2.8,2.9,Q3,179/333,Q3,Q3,0.54,46.4,2165.0,5580.0,ENDOCRINOLOGY & METABOLISM; ONCOLOGY,ENDOCRINOLOGY & METABOLISM(JIF Q3/JCI Q3) | ONCOLOGY(JIF Q3/JCI Q3),SPRINGER,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=Discover+Oncology+aims+scope+instructions+for+authors+APC
2,4-Q3,5,Clinical Case Reports,CLIN CASE REP,2050-0904,2050-0904,0.6,0.6,Q3,227/336,Q3,Q3,0.19,32.6,1561.0,4736.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q3/JCI Q3)",WILEY,Wiley,否,ESCI,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Clinical+Case+Reports+aims+scope+instructions+for+authors+APC
3,4-Q3,5,BMC Ophthalmology,BMC OPHTHALMOL,,1471-2415,2.1,2.2,Q3,51/98,Q2,Q2,0.83,48.5,705.0,9254.0,OPHTHALMOLOGY,OPHTHALMOLOGY(JIF Q3/JCI Q2),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+Ophthalmology+aims+scope+instructions+for+authors+APC
4,4-Q3,5,Journal of Medical Case Reports,J MED CASE REP,,1752-1947,0.8,0.9,Q3,205/336,Q3,Q3,0.26,39.1,693.0,4940.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q3/JCI Q3)",BMC,BMC,否,ESCI,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Journal+of+Medical+Case+Reports+aims+scope+instructions+for+authors+APC
5,4-Q3,5,Trials,TRIALS,,1745-6215,2.1,2.3,Q3,121/191,Q3,Q3,0.51,36.9,624.0,19402.0,"MEDICINE, RESEARCH & EXPERIMENTAL","MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q3/JCI Q3)",BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Trials+aims+scope+instructions+for+authors+APC
6,4-Q3,5,BMC Neurology,BMC NEUROL,,1471-2377,2.6,2.7,Q3,157/296,Q3,Q3,0.72,47.1,513.0,12355.0,CLINICAL NEUROLOGY,CLINICAL NEUROLOGY(JIF Q3/JCI Q3),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+Neurology+aims+scope+instructions+for+authors+APC
7,4-Q3,4,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,BIOCHEM BIOPH RES CO,0006-291X,1090-2104,2.5,2.6,Q3,47/81,Q3,Q3,0.59,28.2,1456.0,81665.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q3/JCI Q3),ACADEMIC PRESS INC ELSEVIER SCIENCE,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=BIOCHEMICAL+AND+BIOPHYSICAL+RESEARCH+COMMUNICATIONS+aims+scope+instructions+for+authors+APC
8,4-Q3,4,Jove-Journal of Visualized Experiments,JOVE-J VIS EXP,1940-087X,1940-087X,1.2,1.4,Q3,83/140,Q3,Q3,0.25,41.1,1325.0,26374.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q3/JCI Q3),JOURNAL OF VISUALIZED EXPERIMENTS,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Jove-Journal+of+Visualized+Experiments+aims+scope+instructions+for+authors+APC
9,4-Q3,4,CHEMISTRY & BIODIVERSITY,CHEM BIODIVERS,1612-1872,1612-1880,2.9,2.8,Q3,127/250,Q4,Q3,0.44,37.0,1167.0,14053.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q3/JCI Q4),WILEY-V C H VERLAG GMBH,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=CHEMISTRY+&+BIODIVERSITY+aims+scope+instructions+for+authors+APC
10,4-Q3,4,JOURNAL OF CRANIOFACIAL SURGERY,J CRANIOFAC SURG,1049-2275,1536-3732,1.1,1.1,Q3,227/321,Q3,Q3,0.44,29.4,1107.0,13861.0,SURGERY,SURGERY(JIF Q3/JCI Q3),LIPPINCOTT WILLIAMS & WILKINS,Wolters Kluwer/LWW,是,SCIE,混合为主,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑",中,https://wkauthorservices.editage.com/open-access/,https://www.google.com/search?q=JOURNAL+OF+CRANIOFACIAL+SURGERY+aims+scope+instructions+for+authors+APC
