期刊全称,ISO缩写,ISSN,eISSN,标记原因,优先,备注,updated
3D Printing in Medicine,3D PRINT MED,,2365-6271,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,1069-6563,1553-2712,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ACADEMIC MEDICINE,ACAD MED,1040-2446,1938-808X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Acupuncture and Herbal Medicine,ACUPUNCT HERB MED,2097-0226,2765-8619,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Acupuncture in Medicine,ACUPUNCT MED,0964-5284,1759-9873,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Acute Medicine & Surgery,ACUTE MED SURG,2052-8817,2052-8817,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Advances in Clinical and Experimental Medicine,ADV CLIN EXP MED,1899-5276,2451-2680,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Advances in Integrative Medicine,ADV INTEGR MED,2212-9588,2212-9596,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,ADV LAB MED,,2628-491X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Advances in Respiratory Medicine,ADV RESPIR MED,2451-4934,2543-6031,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
African Journal of Emergency Medicine,AFR J EMERG MED,2211-419X,2211-4203,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
African Journal of Primary Health Care & Family Medicine,AFR J PRIM HEALTH CA,2071-2928,2071-2936,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Aging Medicine,AGING MED-PRC,,2475-0360,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Alexandria Journal of Medicine,ALEX J MED,2090-5068,2090-5076,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
AMERICAN JOURNAL OF CHINESE MEDICINE,AM J CHINESE MED,0192-415X,1793-6853,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
AMERICAN JOURNAL OF EMERGENCY MEDICINE,AM J EMERG MED,0735-6757,1532-8171,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,AM J IND MED,0271-3586,1097-0274,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
