学科,分层,期刊全称,ISO缩写,2025 JIF,最佳JIF分区,最佳JCI分区,年发文量,易投指数0-5,出版商分组,版面费参考(须官网核实)
ALLERGY,1-Q1且IF大于10,ALLERGY,ALLERGY,11.3,Q1,Q1,266.0,3,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ALLERGY,1-Q1且IF大于10,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,11.7,Q1,Q1,245.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ALLERGY,1-Q1且IF大于10,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,CLIN REV ALLERG IMMU,11.5,Q1,Q1,1.0,0,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,2补-Q1且IF5到10,Journal of Allergy and Clinical Immunology-In Practice,J ALLER CL IMM-PRACT,7.2,Q1,Q1,231.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ALLERGY,2-Q1且IF小于5,PEDIATRIC ALLERGY AND IMMUNOLOGY,PEDIAT ALLERG IMM-UK,4.5,Q1,Q1,111.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ALLERGY,2-Q1且IF小于5,CONTACT DERMATITIS,CONTACT DERMATITIS,4.1,Q1,Q1,99.0,1,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ALLERGY,2补-Q1且IF5到10,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,ANN ALLERG ASTHMA IM,7.1,Q1,Q1,95.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ALLERGY,2补-Q1且IF5到10,CLINICAL AND EXPERIMENTAL ALLERGY,CLIN EXP ALLERGY,5.0,Q1,Q2,56.0,1,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ALLERGY,2补-Q1且IF5到10,ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,6.2,Q1,Q1,42.0,0,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,2补-Q1且IF5到10,JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,J INVEST ALLERG CLIN,6.6,Q1,Q1,28.0,0,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,2补-Q1且IF5到10,Allergologie select,ALLERGOL SEL,5.1,Q1,Q2,9.0,0,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,2补-Q1且IF5到10,CURRENT ALLERGY AND ASTHMA REPORTS,CURR ALLERGY ASTHM R,6.3,Q1,Q2,0.0,0,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,3-Q2,Journal of Asthma and Allergy,J ASTHMA ALLERGY,3.3,Q2,Q2,126.0,2,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,3-Q2,Frontiers in Allergy,FRONT ALLERGY,3.4,Q2,Q2,123.0,3,Frontiers,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）"
ALLERGY,3-Q2,World Allergy Organization Journal,WORLD ALLERGY ORGAN,4.0,Q2,Q2,98.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ALLERGY,3-Q2,Clinical and Translational Allergy,CLIN TRANSL ALLERGY,4.2,Q2,Q1,85.0,1,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
ALLERGY,3-Q2,Asia Pacific Allergy,ASIA PAC ALLERGY,2.8,Q2,Q3,50.0,1,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ALLERGY,3-Q2,Allergy Asthma & Immunology Research,ALLERGY ASTHMA IMMUN,4.3,Q2,Q2,47.0,0,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,3-Q2,Allergy Asthma and Clinical Immunology,ALLERGY ASTHMA CL IM,3.0,Q2,Q3,44.0,0,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
ALLERGY,3-Q2,IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,IMMUNOL ALLERGY CLIN,3.1,Q2,Q2,42.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ALLERGY,3-Q2,Current Opinion in Allergy and Clinical Immunology,CURR OPIN ALLERGY CL,2.8,Q2,Q3,0.0,0,Wolters Kluwer/LWW,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑"
ALLERGY,4-Q3,Journal of Allergy and Clinical Immunology: Global,J ALLER CL IMM-GLOB,2.6,Q3,Q2,190.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
ALLERGY,4-Q3,JOURNAL OF ASTHMA,J ASTHMA,1.6,Q3,Q3,161.0,2,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
ALLERGY,4-Q3,INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,INT ARCH ALLERGY IMM,2.3,Q3,Q3,121.0,2,Karger,"因刊而异，常见 USD 2,500-3,800"
ALLERGY,4-Q3,ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,ASIAN PAC J ALLERGY,2.1,Q3,Q3,96.0,1,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,4-Q3,ALLERGY AND ASTHMA PROCEEDINGS,ALLERGY ASTHMA PROC,2.0,Q3,Q2,80.0,1,其他,请查期刊官网 Author / Open Access 页面
ALLERGY,4-Q3,Iranian Journal of Allergy Asthma and Immunology,IRAN J ALLERGY ASTHM,1.5,Q3,Q4,70.0,1,其他,请查期刊官网 Author / Open Access 页面
