序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
1,2-Q1且IF小于5,5,Journal of Clinical Medicine,J CLIN MED,,2077-0383,3.3,3.5,Q1,67/336,Q1,Q1,0.86,80.2,6640.0,132600.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q1)",MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Journal+of+Clinical+Medicine+aims+scope+instructions+for+authors+APC
2,2-Q1且IF小于5,5,Frontiers in Public Health,FRONT PUBLIC HEALTH,,2296-2565,4.1,4.3,Q1,75/443,Q1,Q1,1.1,83.2,4629.0,83487.0,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(JIF Q1/JCI Q1)",FRONTIERS MEDIA SA,Frontiers,是,"SCIE, SSCI",全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Public+Health+aims+scope+instructions+for+authors+APC
3,2-Q1且IF小于5,5,BMC PUBLIC HEALTH,BMC PUBLIC HEALTH,,1471-2458,4.4,4.8,Q1,60/443,Q1,Q1,1.33,86.6,4487.0,110078.0,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(JIF Q1/JCI Q1)",BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+PUBLIC+HEALTH+aims+scope+instructions+for+authors+APC
4,2-Q1且IF小于5,5,Frontiers in Medicine,FRONT MED-LAUSANNE,,2296-858X,3.6,3.7,Q1,64/336,Q1,Q1,0.83,81.1,3733.0,54614.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q1)",FRONTIERS MEDIA SA,Frontiers,是,SCIE,全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Medicine+aims+scope+instructions+for+authors+APC
5,2-Q1且IF小于5,5,Healthcare,HEALTHCARE-BASEL,,2227-9032,3.4,3.3,Q1,23/125,Q2,Q2,0.9,82.0,2746.0,38753.0,HEALTH CARE SCIENCES & SERVICES; HEALTH POLICY & SERVICES,HEALTH CARE SCIENCES & SERVICES(JIF Q2/JCI Q2) | HEALTH POLICY & SERVICES(JIF Q1/JCI Q2),MDPI,MDPI,是,SCIE; SSCI,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Healthcare+aims+scope+instructions+for+authors+APC
6,2-Q1且IF小于5,5,Diagnostics,DIAGNOSTICS,,2075-4418,3.8,3.6,Q1,61/336,Q1,Q1,0.89,82.0,2598.0,50959.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q1)",MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Diagnostics+aims+scope+instructions+for+authors+APC
7,2-Q1且IF小于5,5,iScience,ISCIENCE,,2589-0042,4.5,5.0,Q1,24/140,Q1,Q1,0.92,83.2,2407.0,57379.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),CELL PRESS,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=iScience+aims+scope+instructions+for+authors+APC
8,2-Q1且IF小于5,5,BMC Oral Health,BMC ORAL HEALTH,1472-6831,1472-6831,3.8,4.0,Q1,27/165,Q1,Q1,1.44,83.9,2041.0,23829.0,"DENTISTRY, ORAL SURGERY & MEDICINE","DENTISTRY, ORAL SURGERY & MEDICINE(JIF Q1/JCI Q1)",BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+Oral+Health+aims+scope+instructions+for+authors+APC
9,2-Q1且IF小于5,5,Medicina-Lithuania,MEDICINA-LITHUANIA,1010-660X,1648-9144,2.9,3.0,Q1,75/336,Q1,Q1,0.75,77.8,1740.0,30609.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q1)",MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Medicina-Lithuania+aims+scope+instructions+for+authors+APC
10,2-Q1且IF小于5,5,Biology-Basel,BIOLOGY-BASEL,,2079-7737,4.3,4.6,Q1,19/106,Q1,Q1,0.89,82.5,1532.0,32407.0,BIOLOGY,BIOLOGY(JIF Q1/JCI Q1),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Biology-Basel+aims+scope+instructions+for+authors+APC
11,2-Q1且IF小于5,5,Life-Basel,LIFE-BASEL,,2075-1729,3.9,3.9,Q1,22/106,Q2,Q2,0.73,79.7,1441.0,33596.0,BIOLOGY,BIOLOGY(JIF Q1/JCI Q2),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Life-Basel+aims+scope+instructions+for+authors+APC
12,2-Q1且IF小于5,5,BMC Pregnancy and Childbirth,BMC PREGNANCY CHILDB,,1471-2393,3.1,3.6,Q1,33/143,Q1,Q1,1.18,77.3,1408.0,28186.0,OBSTETRICS & GYNECOLOGY,OBSTETRICS & GYNECOLOGY(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+Pregnancy+and+Childbirth+aims+scope+instructions+for+authors+APC
13,2-Q1且IF小于5,5,Children-Basel,CHILDREN-BASEL,,2227-9067,2.6,2.7,Q1,39/190,Q1,Q1,1.04,79.7,1359.0,20960.0,PEDIATRICS,PEDIATRICS(JIF Q1/JCI Q1),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Children-Basel+aims+scope+instructions+for+authors+APC
14,2-Q1且IF小于5,5,BMC Psychiatry,BMC PSYCHIATRY,,1471-244X,4.6,5.1,Q1,52/293,Q1,Q1,1.22,82.4,1162.0,35871.0,PSYCHIATRY,PSYCHIATRY(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+Psychiatry+aims+scope+instructions+for+authors+APC
15,2-Q1且IF小于5,5,Journal of Orthopaedic Surgery and Research,J ORTHOP SURG RES,1749-799X,1749-799X,3.8,3.8,Q1,21/147,Q1,Q1,1.39,86.1,947.0,19190.0,ORTHOPEDICS,ORTHOPEDICS(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Journal+of+Orthopaedic+Surgery+and+Research+aims+scope+instructions+for+authors+APC
16,2-Q1且IF小于5,5,Toxics,TOXICS,,2305-6304,4.9,5.3,Q1,21/106,Q2,Q2,0.87,80.7,935.0,19196.0,TOXICOLOGY,TOXICOLOGY(JIF Q1/JCI Q2),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Toxics+aims+scope+instructions+for+authors+APC
17,2-Q1且IF小于5,5,PLoS Computational Biology,PLOS COMPUT BIOL,1553-734X,1553-7358,3.7,4.4,Q1,12/67,Q1,Q1,0.96,82.8,848.0,47721.0,MATHEMATICAL & COMPUTATIONAL BIOLOGY,MATHEMATICAL & COMPUTATIONAL BIOLOGY(JIF Q1/JCI Q1),PUBLIC LIBRARY SCIENCE,PLOS,是,SCIE,全OA,专科刊费用因刊而异或走CAP；PLoS One已拉黑,高,https://plos.org/publish/fees/,https://www.google.com/search?q=PLoS+Computational+Biology+aims+scope+instructions+for+authors+APC
18,2-Q1且IF小于5,5,PLoS Neglected Tropical Diseases,PLOS NEGLECT TROP D,1935-2735,1935-2735,3.6,4.0,Q1,7/47,Q1,Q1,1.14,86.2,819.0,41211.0,PARASITOLOGY; TROPICAL MEDICINE,PARASITOLOGY(JIF Q1/JCI Q1) | TROPICAL MEDICINE(JIF Q1/JCI Q1),PUBLIC LIBRARY SCIENCE,PLOS,是,SCIE,全OA,专科刊费用因刊而异或走CAP；PLoS One已拉黑,高,https://plos.org/publish/fees/,https://www.google.com/search?q=PLoS+Neglected+Tropical+Diseases+aims+scope+instructions+for+authors+APC
19,2-Q1且IF小于5,5,PLoS Pathogens,PLOS PATHOG,1553-7366,1553-7374,4.9,5.5,Q1,4/47,Q1,Q1,1.39,92.6,669.0,55412.0,MICROBIOLOGY; PARASITOLOGY; VIROLOGY,MICROBIOLOGY(JIF Q2/JCI Q1) | PARASITOLOGY(JIF Q1/JCI Q1) | VIROLOGY(JIF Q1/JCI Q1),PUBLIC LIBRARY SCIENCE,PLOS,是,SCIE,全OA,专科刊费用因刊而异或走CAP；PLoS One已拉黑,高,https://plos.org/publish/fees/,https://www.google.com/search?q=PLoS+Pathogens+aims+scope+instructions+for+authors+APC
20,2-Q1且IF小于5,5,BMC Womens Health,BMC WOMENS HEALTH,,1472-6874,3.3,3.7,Q1,29/143,Q1,Q1,1.11,80.1,618.0,13555.0,"OBSTETRICS & GYNECOLOGY; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","OBSTETRICS & GYNECOLOGY(JIF Q1/JCI Q1) | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(JIF Q2/JCI Q1)",BMC,BMC,是,SCIE; SSCI,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+Womens+Health+aims+scope+instructions+for+authors+APC
21,2-Q1且IF小于5,5,BMC MEDICAL IMAGING,BMC MED IMAGING,1471-2342,1471-2342,3.9,3.9,Q1,46/217,Q1,Q1,1.15,79.0,562.0,5892.0,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(JIF Q1/JCI Q1)",BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+MEDICAL+IMAGING+aims+scope+instructions+for+authors+APC
22,2-Q1且IF小于5,5,Parasites & Vectors,PARASITE VECTOR,1756-3305,1756-3305,3.7,3.9,Q1,3/27,Q1,Q1,1.25,90.7,520.0,26027.0,PARASITOLOGY; TROPICAL MEDICINE,PARASITOLOGY(JIF Q1/JCI Q1) | TROPICAL MEDICINE(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=Parasites+&+Vectors+aims+scope+instructions+for+authors+APC
23,2-Q1且IF小于5,4,Discover Applied Sciences,DISCOV APPL SCI,,3004-9261,3.8,3.8,Q1,30/140,Q2,Q2,0.63,78.9,1242.0,4112.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q2),SPRINGER,Springer,否,ESCI,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=Discover+Applied+Sciences+aims+scope+instructions+for+authors+APC
24,2-Q1且IF小于5,4,Health Science Reports,HEALTH SCI REP-US,,2398-8835,2.9,2.6,Q1,75/336,Q2,Q2,0.69,77.8,1060.0,6291.0,"MEDICINE, GENERAL & INTERNAL; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q2) | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(JIF Q2/JCI Q2)",WILEY,Wiley,否,ESCI,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=Health+Science+Reports+aims+scope+instructions+for+authors+APC
25,2-Q1且IF小于5,4,FASEB JOURNAL,FASEB J,0892-6638,1530-6860,4.3,4.7,Q1,19/106,Q1,Q1,0.85,82.5,947.0,52322.0,BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOLOGY; CELL BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q2/JCI Q2) | BIOLOGY(JIF Q1/JCI Q1) | CELL BIOLOGY(JIF Q2/JCI Q2),WILEY,Wiley,是,SCIE,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,https://www.google.com/search?q=FASEB+JOURNAL+aims+scope+instructions+for+authors+APC
26,2-Q1且IF小于5,4,ANNALS OF SURGICAL ONCOLOGY,ANN SURG ONCOL,1068-9265,1534-4681,3.8,3.8,Q1,38/321,Q1,Q1,1.23,88.3,915.0,36204.0,ONCOLOGY; SURGERY,ONCOLOGY(JIF Q2/JCI Q1) | SURGERY(JIF Q1/JCI Q1),SPRINGER,Springer,是,SCIE,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,https://www.google.com/search?q=ANNALS+OF+SURGICAL+ONCOLOGY+aims+scope+instructions+for+authors+APC
27,2-Q1且IF小于5,4,SOCIAL SCIENCE & MEDICINE,SOC SCI MED,0277-9536,1873-5347,4.1,5.6,Q1,4/48,Q1,Q1,1.49,92.7,913.0,64963.0,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; SOCIAL SCIENCES, BIOMEDICAL","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(JIF Q1/JCI Q1) | SOCIAL SCIENCES, BIOMEDICAL(JIF Q1/JCI Q1)",PERGAMON-ELSEVIER SCIENCE LTD,Elsevier,是,"SCIE, SSCI; SSCI",混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=SOCIAL+SCIENCE+&+MEDICINE+aims+scope+instructions+for+authors+APC
