序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
1,3-Q2,5,BMJ Open,BMJ OPEN,2044-6055,2044-6055,2.5,2.8,Q2,92/336,Q1,Q1,0.72,72.8,4810.0,107859.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q2/JCI Q1)",BMJ PUBLISHING GROUP,BMJ,是,SCIE,混合/全OA,"BMJ Open约GBP 2,175；旗舰刊更高",高,https://authors.bmj.com/open-access/,https://www.google.com/search?q=BMJ+Open+aims+scope+instructions+for+authors+APC
2,3-Q2,5,MOLECULES,MOLECULES,,1420-3049,5.1,5.5,Q2,83/328,Q2,Q2,0.71,74.8,4026.0,284626.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q2/JCI Q2),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=MOLECULES+aims+scope+instructions+for+authors+APC
3,3-Q2,5,Frontiers in Oncology,FRONT ONCOL,2234-943X,2234-943X,3.4,3.9,Q2,148/333,Q3,Q3,0.62,55.7,3448.0,111544.0,ONCOLOGY,ONCOLOGY(JIF Q2/JCI Q3),FRONTIERS MEDIA SA,Frontiers,是,SCIE,全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Oncology+aims+scope+instructions+for+authors+APC
4,3-Q2,5,Cancers,CANCERS,,2072-6694,4.8,5.1,Q2,92/333,Q2,Q2,0.8,72.5,2554.0,153316.0,ONCOLOGY,ONCOLOGY(JIF Q2/JCI Q2),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Cancers+aims+scope+instructions+for+authors+APC
5,3-Q2,5,Microorganisms,MICROORGANISMS,,2076-2607,4.7,5.1,Q2,50/167,Q2,Q2,0.87,70.4,2442.0,73196.0,MICROBIOLOGY,MICROBIOLOGY(JIF Q2/JCI Q2),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Microorganisms+aims+scope+instructions+for+authors+APC
6,3-Q2,5,Symmetry-Basel,SYMMETRY-BASEL,,2073-8994,2.2,2.1,Q2,60/140,Q2,Q2,0.76,57.5,2157.0,28764.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q2/JCI Q2),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Symmetry-Basel+aims+scope+instructions+for+authors+APC
7,3-Q2,5,Biomedicines,BIOMEDICINES,,2227-9059,4.5,4.7,Q2,90/356,Q2,Q2,0.77,74.9,2075.0,62243.0,"BIOCHEMISTRY & MOLECULAR BIOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL; PHARMACOLOGY & PHARMACY","BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q2/JCI Q2) | MEDICINE, RESEARCH & EXPERIMENTAL(JIF Q2/JCI Q2) | PHARMACOLOGY & PHARMACY(JIF Q2/JCI Q2)",MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Biomedicines+aims+scope+instructions+for+authors+APC
8,3-Q2,5,BMC CANCER,BMC CANCER,,1471-2407,4.1,4.1,Q2,111/333,Q2,Q2,0.84,66.8,1925.0,54566.0,ONCOLOGY,ONCOLOGY(JIF Q2/JCI Q2),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+CANCER+aims+scope+instructions+for+authors+APC
9,3-Q2,5,Frontiers in Neurology,FRONT NEUROL,1664-2295,1664-2295,3.3,3.5,Q2,107/296,Q3,Q3,0.72,64.0,1844.0,57716.0,CLINICAL NEUROLOGY; NEUROSCIENCES,CLINICAL NEUROLOGY(JIF Q2/JCI Q3) | NEUROSCIENCES(JIF Q2/JCI Q3),FRONTIERS MEDIA SA,Frontiers,是,SCIE,全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Neurology+aims+scope+instructions+for+authors+APC
10,3-Q2,5,BMC INFECTIOUS DISEASES,BMC INFECT DIS,,1471-2334,3.2,3.3,Q2,55/141,Q2,Q2,0.89,61.3,1819.0,35197.0,INFECTIOUS DISEASES,INFECTIOUS DISEASES(JIF Q2/JCI Q2),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+INFECTIOUS+DISEASES+aims+scope+instructions+for+authors+APC
