期刊全称,ISO缩写,ISSN,eISSN,投稿网址,seed_source,note,updated
HUMAN BRAIN MAPPING,HUM BRAIN MAPP,1065-9471,1097-0193,https://wiley.atyponrex.com/journal/HBM,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
NeuroImage-Clinical,NEUROIMAGE-CLIN,2213-1582,2213-1582,https://www.editorialmanager.com/ynicl/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
JOURNAL OF MAGNETIC RESONANCE IMAGING,J MAGN RESON IMAGING,1053-1807,1522-2586,https://authors.wiley.com/journal/JMRI,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
EUROPEAN JOURNAL OF RADIOLOGY,EUR J RADIOL,0720-048X,1872-7727,https://www.editorialmanager.com/ejr/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Brain Communications,BRAIN COMMUN,,2632-1297,https://mc.manuscriptcentral.com/braincom,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
AMERICAN JOURNAL OF NEURORADIOLOGY,AM J NEURORADIOL,0195-6108,1936-959X,https://mc.manuscriptcentral.com/ajnr,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
NEURORADIOLOGY,NEURORADIOLOGY,0028-3940,1432-1920,https://www.editorialmanager.com/nrad/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
JOURNAL OF NEUROIMAGING,J NEUROIMAGING,1051-2284,1552-6569,https://mc.manuscriptcentral.com/jon,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Brain Imaging and Behavior,BRAIN IMAGING BEHAV,1931-7557,1931-7565,https://www.editorialmanager.com/bior/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Clinical Neuroradiology,CLIN NEURORADIOL,1869-1439,1869-1447,https://www.editorialmanager.com/klne/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
NEUROIMAGE,NEUROIMAGE,1053-8119,1095-9572,https://www.editorialmanager.com/ynimg/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Psychoradiology,PSYCHORADIOLOGY,,2634-4416,https://mc.manuscriptcentral.com/psyrad,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
EUROPEAN RADIOLOGY,EUR RADIOL,0938-7994,1432-1084,https://www.editorialmanager.com/eura/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Alzheimers Research & Therapy,ALZHEIMERS RES THER,,1758-9193,https://submission.nature.com/new-submission/13195/3,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Insights into Imaging,INSIGHTS IMAGING,1869-4101,1869-4101,https://www.editorialmanager.com/inii/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
CANCER IMAGING,CANCER IMAGING,1740-5025,1470-7330,https://www.editorialmanager.com/caig/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,1878-4046,https://www.editorialmanager.com/arad/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
BMC MEDICAL IMAGING,BMC MED IMAGING,1471-2342,1471-2342,https://submission.nature.com/new-submission/12880/3,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,INT J COLORECTAL DIS,0179-1958,1432-1262,https://www.editorialmanager.com/ijcd/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Abdominal Radiology,ABDOM RADIOL,2366-004X,2366-0058,https://submission.springernature.com/new-submission/261/3,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Quantitative Imaging in Medicine and Surgery,QUANT IMAG MED SURG,2223-4292,2223-4306,https://qims.amegroups.org/login,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
BRITISH JOURNAL OF RADIOLOGY,BRIT J RADIOL,0007-1285,1748-880X,https://mc.manuscriptcentral.com/bjr,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
SEMINARS IN ULTRASOUND CT AND MRI,SEMIN ULTRASOUND CT,0887-2171,1558-5034,https://www.sciencedirect.com/journal/seminars-in-ultrasound-ct-and-mri,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
DIGESTIVE DISEASES AND SCIENCES,DIGEST DIS SCI,0163-2116,1573-2568,https://www.editorialmanager.com/ddsj/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
WORLD JOURNAL OF GASTROENTEROLOGY,WORLD J GASTROENTERO,1007-9327,2219-2840,https://www.f6publishing.com/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Radiology-Imaging Cancer,RADIOL-IMAG CANCER,2638-616X,2638-616X,https://mc.manuscriptcentral.com/ryican,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Radiologia Medica,RADIOL MED,0033-8362,1826-6983,https://www.editorialmanager.com/rame/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,J CEREBR BLOOD F MET,0271-678X,1559-7016,https://mc.manuscriptcentral.com/jcbfm,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
RENAL FAILURE,RENAL FAILURE,0886-022X,1525-6049,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=irnf20,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
MAGNETIC RESONANCE IN MEDICINE,MAGN RESON MED,0740-3194,1522-2594,https://mc.manuscriptcentral.com/mrm,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Clinical Kidney Journal,CLIN KIDNEY J,2048-8505,2048-8513,https://mc.manuscriptcentral.com/ckj,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
European Radiology Experimental,EUR RADIOL EXP,,2509-9280,https://www.editorialmanager.com/eure/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Journal of Imaging Informatics in Medicine,J IMAGING INFORM MED,2948-2925,2948-2933,https://www.editorialmanager.com/jdim/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,COMPUT MED IMAG GRAP,0895-6111,1879-0771,https://www.editorialmanager.com/cmig/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
DIGESTIVE AND LIVER DISEASE,DIGEST LIVER DIS,1590-8658,1878-3562,https://www.editorialmanager.com/dld/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
NMR IN BIOMEDICINE,NMR BIOMED,0952-3480,1099-1492,https://mc.manuscriptcentral.com/nbm,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,J GASTROEN HEPATOL,0815-9319,1440-1746,https://mc.manuscriptcentral.com/jgh,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
LIVER INTERNATIONAL,LIVER INT,1478-3223,1478-3231,https://mc.manuscriptcentral.com/livint,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
INVESTIGATIVE RADIOLOGY,INVEST RADIOL,0020-9996,1536-0210,https://www.editorialmanager.com/ir/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Japanese Journal of Radiology,JPN J RADIOL,1867-1071,1867-108X,https://submission.springernature.com/new-submission/11604/3,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
World Journal of Hepatology,WORLD J HEPATOL,1948-5182,1948-5182,https://www.f6publishing.com/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
Hepatology Communications,HEPATOL COMMUN,,2471-254X,https://www.editorialmanager.com/hepcom/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
REPRODUCTIVE BIOMEDICINE ONLINE,REPROD BIOMED ONLINE,1472-6483,1472-6491,https://www.editorialmanager.com/rbmo/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
BMC Womens Health,BMC WOMENS HEALTH,,1472-6874,https://www.editorialmanager.com/bmwh/,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,0001-6349,1600-0412,https://mc.manuscriptcentral.com/aogs,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,BJOG-INT J OBSTET GY,1470-0328,1471-0528,https://mc.manuscriptcentral.com/bjog,submission-urls,选刊/投过：submission-urls 种子；层内优先于 BMC/Medicine 模式白名单,2026-09-09
